name,slug,chair,district_manager,address,phone_number,email_address,board_meeting,cabinet_meeting,website
Brooklyn Community Board 1,brooklyn_1,Dealice Fuller,Gerald A. Esposito,"Brooklyn Community Board 1 435 Graham Avenue, Brooklyn, NY 11211",7183890009,bk01@cb.nyc.gov,"Second Tuesday, 6:30pm","Third Thursday, 10:30am",http://www.nyc.gov/brooklyncb1
Brooklyn Community Board 2,brooklyn_2,Shirley A. McRae,Robert Perris,"Brooklyn Community Board 2 350 Jay Street, 8th Floor Brooklyn, NY 11201",7185965410,cb2k@nyc.rr.com,"Second Wednesday, 6:00pm",Per agenda,http://www.nyc.gov/html/bkncb2/html/home/home.shtml
Brooklyn Community Board 3,brooklyn_3,Richard Flateau,Henry Butler,"Brooklyn Community Board 3 1360 Fulton Street, Brooklyn, NY 11216",7186226601,bk03@cb.nyc.gov,"First Monday, 7:00pm","Fourth Thursday, 9:30am",http://www1.nyc.gov/site/brooklyncb3/index.page
Brooklyn Community Board 4,brooklyn_4,Julie Dent,Celestina Leon,"Brooklyn Community Board 4 1420 Bushwick Avenue, Suite 370 Brooklyn, NY 11207-1422",7186288400,bk04@cb.nyc.gov,"Third Wednesday, 6:00pm","Second Wednesday, 10:00am",http://www1.nyc.gov/site/brooklyncb4/index.page
Brooklyn Community Board 5,brooklyn_5,AT Mitchell,Melinda Perkins,"Brooklyn Community Board 5 404 Pine Street, 3rd Floor Brooklyn, New York 11208",9292218261,BK05@cb.nyc.gov,"Fourth Wednesday, 6:30pm","Third Wednesday, 10:00am",http://www.brooklyncb5.org
Brooklyn Community Board 6,brooklyn_6,Gary Reilly,,"Brooklyn Community Board 6 250 Baltic Street, Brooklyn, NY 11201",7186433027,info@brooklyncb6.org,"Second Wednesday, 6:30pm","First Wednesday of every other month, 9:30am",http://www1.nyc.gov/site/brooklyncb6/index.page
Brooklyn Community Board 7,brooklyn_7,Cesar Zuniga,Jeremy Laufer,"Brooklyn Community Board 7 4201 4th Avenue, Brooklyn, NY 11232",7188540003,bk07@cb.nyc.gov,"Third Wednesday, 6:30pm",Every other Month on the 2nd Thursday of that month at 10:00 AM,http://www1.nyc.gov/site/brooklyncb7/index.page
Brooklyn Community Board 8,brooklyn_8,Nizjoni Granville,Michelle George,"Brooklyn Community Board 8 1291 St. Marks Avenue, Brooklyn, NY 11213",7184675574,info@brooklyncb8.org,"Second Thursday, 7:00pm",Per Agenda,http://www.brooklyncb8.org/
Brooklyn Community Board 9,brooklyn_9,Demetrius Lawrence,,"Brooklyn Community Board 9 890 Nostrand Avenue, Brooklyn, NY 11225",7187789279,bk09@cb.nyc.gov,"Fourth Tuesday, 7:00pm","Third Wednesday, 9:30am",http://www.communitybrd9bklyn.org/
Brooklyn Community Board 10,brooklyn_10,Brian Kieran,Josephine Beckmann,"Brooklyn Community Board 10 8119 5th Avenue Brooklyn, New York 11209",7187456827,communitybd10@nyc.rr.com,"Third Monday except January and February, 7:15pm",Per agenda,http://www1.nyc.gov/site/brooklyncb10/index.page
Brooklyn Community Board 11,brooklyn_11,William Guarinello,Marnee Elias-Pavia,"Brooklyn Community Board 11 2214 Bath Avenue, Brooklyn, NY 11214",7182668800,info@brooklyncb11.org,"Second Thursday, 7:30pm",Per agenda,http://www.brooklyncb11.org/
Brooklyn Community Board 12,brooklyn_12,Yidel Perlstein,Barry Spitzer,"Brooklyn Community Board 12 5910 13th Avenue, Brooklyn, NY 11219",7188510800,BKCB12@gmail.com,"Fourth Tuesday, 7:00pm","Third Tuesday of every other month, 9:30am",http://www.brooklyncb12.org
Brooklyn Community Board 13,brooklyn_13,Joann Weiss,Eddie Mark,"Brooklyn Community Board 13 1201 Surf Avenue, 3rd Floor Brooklyn, NY 11224",7182663001,,"Fourth Wednesday, 7:00pm","First Thursday, 9:30am",http://www1.nyc.gov/site/brooklyncb13/index.page
Brooklyn Community Board 14,brooklyn_14,Alvin M. Berk,Shawn Campbell,"Brooklyn Community Board 14 810 East 16th Street, Brooklyn, NY 11230-3010",7188596357,info@cb14brooklyn.com,"Second Monday, 7:30pm","First Wednesday of every other month, 11:00am",http://www.cb14brooklyn.com
Brooklyn Community Board 15,brooklyn_15,Theresa Scavo,Laura Singer,"Brooklyn Community Board 15 Kingsboro Community College, 2001 Oriental Boulevard, C Cluster, Room C124 Brooklyn, NY 11235",7183323008,bklcb15@verizon.net,"Last Tuesday, 7:00pm","Third Thursday, 9:30am",http://www1.nyc.gov/site/brooklyncb15/index.page
Brooklyn Community Board 16,brooklyn_16,Genese T. Morgan,Viola D. Greene-Walker,"Brooklyn Community Board 16 444 Thomas Boyland Street, Rm. 103 Brooklyn, NY 11212",7183850323,bk16@cb.nyc.gov,bk16@cb.nyc.gov,"Second Wednesday, 9:30am",http://www1.nyc.gov/site/brooklyncb16/index.page
Brooklyn Community Board 17,brooklyn_17,Barrington Barrett,Ms. Sherif Fraser,"Brooklyn Community Board 17 4112 Farragut Road Brooklyn, New York 11210",7184343461,bk17@cb.nyc.gov,"Third Wednesday, 7:00pm",Per agenda,
Brooklyn Community Board 18,brooklyn_18,Saul Needle,Dorothy Turano,"Brooklyn Community Board 18 1097 Bergen Avenue Brooklyn, NY 11234-4841",7182410422,bkbrd18@optonline.net,"Third Wednesday, 8:00pm",Per agenda, 
